Designator,Footprint,Quantity,Value,LCSC Part #
C1,C_0603,1,1uF 50V,
"C11, C6, C7",C_0402,3,1uF,
"C12, C14, C15, C3, C4",C_0402,5,1uF 25V,
"C17, C18",C_0805,2,4.7uF 50V,
C19,C_1210,1,22uF 35V,
"C2, C20, C23, C24, C25, C26, C27, C29, C30, C31, C32, C33, C34, C36, C37, C38, C39, C40, C41, C43, C44, C45, C46, C47, C48, C70",C_0402,26,100nF,
C21,C_0805,1,22uF 25V,C45783
C22,C_0402,1,33pF,
C28,CP_EIA-7343-31_Kemet-D,1,C_Polarized,C106188
"C35, C42",C_0603,2,160pF,
"C49, C50, C63, C64",C_0603,4,22pF,
"C5, C68, C69",C_0603,3,22uF,
"C51, C52",C_0603,2,220pF,
"C53, C55, C57, C58, C61, C65",C_0603,6,100nF,
C54,C_0603,1,1nF,
"C56, C59, C62",C_0603,3,4.7uF,
C60,C_1206,1,100uF 6.3V,
C66,C_0603,1,33pF,
C67,CP_EIA-3528-21_Kemet-B,1,220uF Tant,C122649
"C71, C72",C_0402,2,100nF 25V,C56392
"C73, C76, C77, C78, C79, C8, C80, C81, C83, C9",C_0201,10,100nF,C76934
C74,C_0201,1,18pF,C62164
C75,C_0805,1,47uF 6V,C16780
"D1, D2, D3, D6",D_SOD-123,4,MBR0530,C5204746
"D10, D11, D12, D14, D15, D16, D17, D18, D19, D21, D22, D23, D24, D25, D26, D28, D29, D30, D31, D32, D33, D35, D4, D5, D8, D9",SMD1615,26,XL-1010RGBC-WS2812B,C5349954
"D34, D38, D39",DFN1006-2L,3,~,C5137770
J1,XUNPU-FPC-05FB-24PH20,1,Conn_01x26,C2856831
J10,TF_PUSH,1,TF_PUSH,C393941
"J2, J8",WAGO-2060-452-998-404,2,PWR,C2765055
J3,WAGO-2060-453-998-404,1,NFC,C2765056
J4,WAGO-2060-452-998-404,1,BTN,C2765055
"J5, J7",USB-C-Socket-H,2,USB-C-Socket-H,C709357
L1,L_6x6,1,470uH,C168100
"L3, L4",1008,2,560nH,C75639
L5,L_5x5,1,4.7uH,C307876
Q1,SOT-23,1,BSS138,C2938375
R1,R_0402,1,0.47R,C2771738
"R12, R13, R4, R5",R_0402,4,5k1,
"R14, R2",R_0201,2,150k 1%,C310173
"R15, R16, R17, R18, R19, R20, R21, R3, R8",R_0402,9,10K,
"R22, R24",R_0603_,2,0R,
R23,R_0805_,1,0R,
R25,R_0603,1,2k7 1%,C114612
R26,R_0603,1,1k 1%,C22548
"R27, R6",R_0603,2,10K,
R28,R_0603,1,20K,
R29,R_0201,1,33k 1%,C320835
"R35, R36",R_0603,2,100R,
R7,R_0402,1,100R,
SW2,ESE13,1,ESE13V01D,
T1,T3902_MEMS_Mic_Open,1,T3902_MEMS_Mic,C3171752
U1,SOT-563,1,TPS562246,C41833479
U2,QFN-40-1EP_6x6mm_P0.5mm_EP4.6x4.6mm,1,PN532,
U3,SCD41,1,SCD41,C3659294
U4,ESP32-S3-MINI-1,1,ESP32-S3-MINI-1,C3013941
U5,Bosch_LGA-8_2x2.5mm_P0.65mm_ClockwisePinNumbering,1,GZP6816D,C3038127
U7,Sensirion_DFN-4_1.5x1.5mm_P0.5mm_SHT4x-Side,1,SHT40,C2909890
Y1,Crystal-3.2x2.5,1,27.12MHz,C70591
